onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.020	3	foil new	foil	sure new	0.740	n/a	331	37	2
14.018	3	foil new	foil	sure new	0.661	n/a	332	38	2
26.017	3	foil new	foil	sure new	0.695	n/a	333	39	2
38.016	3	target old	target	sure old	0.704	5	155	40	2
50.015	3	foil new	foil	sure new	0.825	n/a	319	41	2
62.013	3	target old	target	sure old	0.986	7	175	42	2
74.012	3	foil new	foil	sure new	0.747	n/a	306	43	2
86.011	3	foil new	foil	sure new	0.812	n/a	325	44	2
98.010	3	foil new	foil	sure new	0.878	n/a	318	45	2
110.009	3	target old	target	sure old	1.174	7	173	46	2
122.008	3	lure new	lure	unsure new	1.536	5	252	47	2
134.006	3	lure old	lure	sure old	0.889	6	261	48	2
146.005	3	target old	target	sure old	0.954	9	195	49	2
158.004	3	foil new	foil	sure new	0.835	n/a	322	50	2
170.019	3	lure new	lure	sure new	0.836	2	221	51	2
182.018	3	foil new	foil	sure new	1.621	n/a	308	52	2
194.017	3	lure new	lure	sure new	1.047	3	231	53	2
206.016	3	target old	target	sure old	0.847	5	157	54	2
218.015	3	lure new	lure	sure new	0.777	8	281	55	2
230.013	3	target old	target	sure old	0.882	8	185	56	2
242.012	3	target new	target	sure new	0.819	4	141	57	2
254.011	3	foil new	foil	sure new	0.765	n/a	301	58	2
266.010	3	target new	target	sure new	1.078	6	167	59	2
278.008	3	lure new	lure	sure new	0.919	1	213	60	2
290.007	3	lure new	lure	sure new	0.624	2	222	61	2
302.006	3	lure old	lure	unsure old	1.465	7	274	62	2
314.005	3	foil new	foil	sure new	0.867	n/a	310	63	2
326.005	3	lure new	lure	sure new	0.883	4	242	64	2
338.019	3	target new	target	sure new	1.380	1	113	65	2
350.018	3	foil new	foil	unsure new	1.629	n/a	315	66	2
362.017	3	lure new	lure	sure new	1.247	9	292	67	2
374.016	3	lure old	lure	sure old	1.288	5	253	68	2
386.014	3	target old	target	sure old	1.281	4	145	69	2
398.013	3	target old	target	unsure old	1.578	3	137	70	2
410.012	3	lure new	lure	sure new	0.723	4	244	71	2
422.011	3	target old	target	sure old	1.172	2	125	72	2
