onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.017	3	foil new	foil	sure new	0.951	n/a	328	1	1
14.016	3	foil new	foil	sure new	0.927	n/a	329	2	1
26.014	3	foil new	foil	sure new	1.177	n/a	330	3	1
38.013	3	lure old	lure	unsure old	2.154	6	262	4	1
50.012	3	lure old	lure	unsure old	2.147	6	264	5	1
62.011	3	foil new	foil	sure new	0.917	n/a	303	6	1
74.010	3	foil new	foil	sure new	0.806	n/a	324	7	1
86.008	3	foil new	foil	sure new	0.751	n/a	311	8	1
98.007	3	lure new	lure	sure new	0.808	9	293	9	1
110.006	3	foil new	foil	sure new	1.001	n/a	316	10	1
122.005	3	target old	target	sure old	1.171	2	123	11	1
134.020	3	lure old	lure	unsure old	1.739	1	211	12	1
146.019	3	lure new	lure	sure new	0.852	4	243	13	1
158.018	3	target old	target	sure old	2.237	1	117	14	1
170.017	3	foil new	foil	sure new	1.318	n/a	307	15	1
182.015	3	lure new	lure	sure new	0.976	3	234	16	1
194.014	3	lure old	lure	unsure old	1.913	9	294	17	1
206.013	3	lure new	lure	sure new	1.026	2	224	18	1
218.012	3	foil old	foil	sure old	1.220	n/a	313	19	1
230.011	3	target old	target	sure old	0.949	6	163	20	1
242.009	3	foil new	foil	sure new	0.966	n/a	304	21	1
254.008	3	foil new	foil	unsure new	1.351	n/a	326	22	1
266.007	3	target old	target	sure old	0.928	8	181	23	1
278.006	3	lure old	lure	sure old	1.762	7	272	24	1
290.005	3	lure old	lure	unsure old	1.810	1	212	25	1
302.020	3	target old	target	sure old	0.843	6	161	26	1
314.019	3	lure new	lure	sure new	1.604	8	283	27	1
326.018	3	target old	target	sure old	0.773	5	153	28	1
338.016	3	target old	target	sure old	0.822	7	171	29	1
350.015	3	foil new	foil	sure new	0.872	n/a	320	30	1
362.014	3	target old	target	sure old	1.049	9	193	31	1
374.013	3	target old	target	sure old	0.786	8	187	32	1
386.012	3	target old	target	sure old	1.515	3	131	33	1
398.010	3	lure new	lure	unsure new	1.885	5	251	34	1
410.009	3	target new	target	unsure new	1.846	3	133	35	1
422.008	3	target new	target	sure new	0.815	4	147	36	1
