onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.006	3	foil new	foil	sure new	0.818	n/a	331	37	2
14.037	3	foil new	foil	sure new	0.714	n/a	332	38	2
26.019	3	foil new	foil	sure new	0.909	n/a	333	39	2
38.035	3	lure old	lure	sure old	0.965	6	261	40	2
50.017	3	foil new	foil	sure new	1.487	n/a	309	41	2
62.016	3	lure old	lure	unsure old	1.384	5	251	42	2
74.014	3	foil new	foil	sure new	1.033	n/a	320	43	2
86.030	3	target old	target	sure old	1.002	7	171	44	2
98.012	3	lure old	lure	unsure old	1.092	8	282	45	2
110.011	3	target old	target	unsure old	1.013	6	161	46	2
122.009	3	target old	target	sure old	0.766	6	165	47	2
134.008	3	foil new	foil	sure new	1.487	n/a	310	48	2
146.024	3	target old	target	unsure old	1.095	1	115	49	2
158.006	3	lure new	lure	sure new	1.050	4	244	50	2
170.005	3	target old	target	sure old	0.971	5	155	51	2
182.020	3	foil new	foil	unsure new	0.995	n/a	304	52	2
194.036	3	lure old	lure	sure old	0.804	3	231	53	2
206.018	3	lure old	lure	unsure old	0.926	2	221	54	2
218.017	3	target new	target	unsure new	1.215	5	153	55	2
230.015	3	target old	target	unsure old	0.928	2	125	56	2
242.031	3	target old	target	sure old	0.848	4	143	57	2
254.013	3	target old	target	sure old	0.723	3	133	58	2
266.012	3	foil new	foil	unsure new	1.108	n/a	315	59	2
278.010	3	lure new	lure	sure new	1.173	9	294	60	2
290.026	3	lure old	lure	unsure old	1.181	8	283	61	2
302.008	3	lure old	lure	sure old	0.736	6	263	62	2
314.007	3	lure new	lure	unsure new	1.025	4	241	63	2
326.023	3	foil new	foil	unsure new	1.248	n/a	325	64	2
338.005	3	lure new	lure	unsure new	1.275	7	271	65	2
350.037	3	target old	target	sure old	1.291	9	191	66	2
362.019	3	foil new	foil	sure new	1.044	n/a	303	67	2
374.034	3	target old	target	sure old	0.965	4	147	68	2
386.033	3	lure old	lure	unsure old	0.942	1	213	69	2
398.032	3	foil new	foil	sure new	1.103	n/a	316	70	2
410.031	3	foil new	foil	sure new	0.880	n/a	323	71	2
422.013	3	target old	target	sure old	0.858	8	181	72	2
