onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.013	3	foil new	foil	sure new	0.896	n/a	328	1	1
14.012	3	foil new	foil	sure new	0.729	n/a	329	2	1
26.010	3	foil new	foil	sure new	0.802	n/a	330	3	1
38.026	3	target old	target	sure old	1.162	5	151	4	1
50.025	3	target old	target	sure old	1.116	3	137	5	1
62.007	3	lure new	lure	unsure new	1.486	5	252	6	1
74.023	3	target new	target	unsure new	1.414	8	185	7	1
86.005	3	foil new	foil	sure new	1.112	n/a	313	8	1
98.020	3	target old	target	sure old	0.977	2	127	9	1
110.035	3	lure new	lure	unsure new	1.425	3	232	10	1
122.017	3	target old	target	sure old	0.779	1	113	11	1
134.033	3	target old	target	sure old	0.948	7	173	12	1
146.032	3	lure new	lure	unsure new	1.317	7	274	13	1
158.014	3	foil new	foil	sure new	0.895	n/a	317	14	1
170.013	3	lure new	lure	unsure new	1.272	9	292	15	1
182.011	3	target old	target	unsure old	1.553	2	121	16	1
194.010	3	foil new	foil	sure new	1.018	n/a	306	17	1
206.009	3	lure old	lure	sure old	1.204	6	264	18	1
218.008	3	target old	target	sure old	1.060	8	183	19	1
230.007	3	foil new	foil	sure new	0.958	n/a	321	20	1
242.005	3	foil new	foil	sure new	0.879	n/a	312	21	1
254.004	3	lure new	lure	unsure new	1.400	8	281	22	1
266.020	3	lure new	lure	sure new	0.785	4	242	23	1
278.019	3	target old	target	sure old	1.082	1	117	24	1
290.034	3	foil new	foil	sure new	0.922	n/a	324	25	1
302.016	3	foil new	foil	sure new	0.877	n/a	301	26	1
314.015	3	target old	target	sure old	0.854	9	193	27	1
326.014	3	lure old	lure	unsure old	1.343	9	293	28	1
338.013	3	lure old	lure	sure old	0.936	3	233	29	1
350.011	3	target old	target	sure old	1.081	6	163	30	1
362.027	3	lure old	lure	unsure old	1.346	1	214	31	1
374.009	3	target old	target	sure old	1.204	4	141	32	1
386.025	3	foil new	foil	unsure new	1.204	n/a	308	33	1
398.006	3	lure new	lure	unsure new	1.166	2	222	34	1
410.039	3	lure old	lure	unsure old	1.342	1	212	35	1
422.004	3	foil new	foil	unsure new	1.712	n/a	327	36	1
