onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.011	3	foil new	foil	sure new	0.781	n/a	331	37	2
14.026	3	foil new	foil	sure new	0.949	n/a	332	38	2
26.025	3	foil new	foil	sure new	1.230	n/a	333	39	2
38.007	3	lure old	lure	unsure old	1.704	3	232	40	2
50.006	3	foil new	foil	sure new	1.633	n/a	309	41	2
62.005	3	lure old	lure	unsure old	1.251	8	284	42	2
74.004	3	lure old	lure	sure old	2.060	1	211	43	2
86.019	3	target old	target	sure old	1.020	7	177	44	2
98.018	3	target old	target	sure old	0.837	9	191	45	2
110.017	3	foil new	foil	unsure new	1.359	n/a	324	46	2
122.016	3	lure old	lure	unsure old	1.352	9	293	47	2
134.015	3	target old	target	sure old	0.905	4	145	48	2
146.013	3	foil new	foil	sure new	1.114	n/a	316	49	2
158.012	3	target old	target	sure old	1.012	5	151	50	2
170.011	3	target old	target	sure old	1.100	1	115	51	2
182.010	3	target old	target	sure old	0.949	8	181	52	2
194.009	3	foil old	foil	unsure old	1.391	n/a	325	53	2
206.007	3	lure old	lure	sure old	1.736	8	283	54	2
218.006	3	target old	target	sure old	1.433	2	125	55	2
230.005	3	lure old	lure	unsure old	1.603	9	292	56	2
242.005	3	target old	target	sure old	0.979	5	155	57	2
254.019	3	lure old	lure	sure old	0.996	4	243	58	2
266.018	3	lure old	lure	sure old	0.838	6	263	59	2
278.017	3	foil new	foil	sure new	0.919	n/a	301	60	2
290.016	3	lure old	lure	sure old	1.520	7	272	61	2
302.015	3	lure old	lure	unsure old	1.945	4	241	62	2
314.013	3	target old	target	sure old	1.410	3	135	63	2
326.012	3	foil new	foil	sure new	0.956	n/a	310	64	2
338.011	3	lure old	lure	sure old	2.037	2	221	65	2
350.026	3	foil new	foil	unsure new	1.677	n/a	306	66	2
362.009	3	foil new	foil	sure new	1.487	n/a	314	67	2
374.008	3	foil old	foil	unsure old	1.768	n/a	320	68	2
386.006	3	lure old	lure	unsure old	1.881	5	252	69	2
398.005	3	target old	target	sure old	1.203	4	143	70	2
410.004	3	target old	target	sure old	1.195	7	173	71	2
422.019	3	target old	target	sure old	0.828	6	167	72	2
