onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.068	3	foil new	foil	sure new	1.128	n/a	328	1	1
14.016	3	foil new	foil	sure new	1.739	n/a	329	2	1
26.015	3	foil new	foil	sure new	1.812	n/a	330	3	1
38.014	3	lure new	lure	unsure new	1.597	3	231	4	1
50.013	3	lure new	lure	unsure new	1.798	8	282	5	1
62.012	3	foil new	foil	unsure new	1.239	n/a	307	6	1
74.011	3	lure new	lure	unsure new	2.112	1	214	7	1
86.026	3	target old	target	sure old	1.425	2	123	8	1
98.008	3	lure old	lure	unsure old	2.243	7	273	9	1
110.007	3	foil new	foil	sure new	1.788	n/a	305	10	1
122.022	3	lure new	lure	sure new	1.053	4	244	11	1
134.005	3	lure old	lure	unsure old	2.238	5	253	12	1
146.020	3	foil new	foil	unsure new	1.639	n/a	327	13	1
158.019	3	lure old	lure	unsure old	1.680	6	261	14	1
170.018	3	foil new	foil	unsure new	2.113	n/a	313	15	1
182.016	3	lure old	lure	sure old	2.259	2	223	16	1
194.015	3	foil new	foil	sure new	1.683	n/a	319	17	1
206.014	3	lure old	lure	unsure old	2.661	2	224	18	1
218.013	3	foil new	foil	unsure new	2.022	n/a	312	19	1
230.012	3	target old	target	sure old	1.727	8	183	20	1
242.010	3	target old	target	sure old	1.009	3	131	21	1
254.009	3	lure new	lure	unsure new	1.745	3	234	22	1
266.008	3	target old	target	sure old	1.115	5	153	23	1
278.007	3	target old	target	sure old	0.868	8	187	24	1
290.006	3	target old	target	sure old	1.101	4	141	25	1
302.005	3	target old	target	sure old	1.126	9	195	26	1
314.020	3	target old	target	sure old	1.223	6	161	27	1
326.019	3	target old	target	sure old	1.056	2	127	28	1
338.018	3	lure old	lure	sure old	0.929	7	271	29	1
350.016	3	lure new	lure	sure new	1.923	9	291	30	1
362.015	3	foil new	foil	sure new	1.875	n/a	318	31	1
374.014	3	foil old	foil	unsure old	1.373	n/a	303	32	1
386.013	3	target old	target	sure old	0.790	9	193	33	1
398.012	3	foil new	foil	sure new	1.711	n/a	322	34	1
410.027	3	target old	target	sure old	1.416	1	117	35	1
422.026	3	target old	target	sure old	0.913	7	175	36	1
