onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.012	3	foil new	foil	sure new	0.987	n/a	334	73	3
14.011	3	foil new	foil	sure new	1.101	n/a	335	74	3
26.009	3	foil new	foil	sure new	0.894	n/a	336	75	3
38.008	3	lure old	lure	unsure old	0.735	1	214	76	3
50.007	3	foil old	foil	unsure old	0.800	n/a	325	77	3
62.006	3	lure old	lure	unsure old	0.778	2	221	78	3
74.005	3	lure old	lure	unsure old	0.866	6	261	79	3
86.020	3	target old	target	unsure old	1.419	7	173	80	3
98.019	3	foil old	foil	unsure old	0.677	n/a	306	81	3
110.035	3	target old	target	unsure old	0.725	6	161	82	3
122.033	3	lure old	lure	sure old	0.814	9	291	83	3
134.032	3	lure old	lure	unsure old	0.735	9	292	84	3
146.031	3	foil old	foil	unsure old	0.689	n/a	319	85	3
158.013	3	target old	target	unsure old	0.803	8	183	86	3
170.012	3	lure old	lure	sure old	0.780	2	224	87	3
182.011	3	lure old	lure	unsure old	0.701	7	273	88	3
194.026	3	foil new	foil	sure new	0.981	n/a	303	89	3
206.008	3	foil new	foil	sure new	0.919	n/a	317	90	3
218.007	3	target old	target	unsure old	1.073	9	193	91	3
230.039	3	target old	target	sure old	0.864	3	137	92	3
242.004	3	target old	target	sure old	0.986	4	141	93	3
254.037	3	foil old	foil	unsure old	0.963	n/a	311	94	3
266.019	3	target new	target	sure new	1.053	2	121	95	3
278.018	3	lure old	lure	unsure old	0.830	1	211	96	3
290.033	3	target old	target	unsure old	0.862	1	117	97	3
302.015	3	foil old	foil	unsure old	1.048	n/a	313	98	3
314.030	3	target old	target	sure old	0.897	3	131	99	3
326.029	3	lure old	lure	unsure old	0.866	4	242	100	3
338.012	3	lure old	lure	unsure old	0.828	5	254	101	3
350.027	3	target old	target	unsure old	1.004	5	153	102	3
362.026	3	foil old	foil	unsure old	0.981	n/a	322	103	3
374.008	3	target old	target	unsure old	0.871	9	197	104	3
386.007	3	lure old	lure	sure old	0.880	3	231	105	3
398.039	3	foil new	foil	sure new	0.808	n/a	309	106	3
410.038	3	target old	target	sure old	0.921	4	143	107	3
422.020	3	lure old	lure	unsure old	0.923	8	283	108	3
