onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.006	3	foil new	foil	sure new	1.201	n/a	331	37	2
14.005	3	foil new	foil	sure new	0.906	n/a	332	38	2
26.005	3	foil new	foil	sure new	0.778	n/a	333	39	2
38.019	3	target old	target	unsure old	0.996	5	151	40	2
50.018	3	foil new	foil	unsure new	1.085	n/a	305	41	2
62.017	3	target old	target	unsure old	0.991	8	185	42	2
74.015	3	lure old	lure	unsure old	0.880	5	251	43	2
86.014	3	foil new	foil	unsure new	1.065	n/a	318	44	2
98.013	3	lure new	lure	unsure new	1.130	7	274	45	2
110.012	3	foil old	foil	unsure old	1.291	n/a	312	46	2
122.028	3	lure old	lure	unsure old	1.076	2	222	47	2
134.026	3	lure old	lure	unsure old	0.877	6	264	48	2
146.008	3	target old	target	unsure old	1.095	1	111	49	2
158.007	3	foil new	foil	sure new	1.056	n/a	315	50	2
170.039	3	foil new	foil	sure new	0.832	n/a	326	51	2
182.005	3	target old	target	unsure old	1.090	1	113	52	2
194.037	3	target old	target	unsure old	1.019	6	167	53	2
206.019	3	foil new	foil	unsure new	0.964	n/a	301	54	2
218.018	3	lure old	lure	unsure old	0.894	8	284	55	2
230.016	3	target old	target	unsure old	1.062	2	123	56	2
242.032	3	foil new	foil	unsure new	1.031	n/a	307	57	2
254.031	3	target old	target	unsure old	1.104	9	191	58	2
266.013	3	target old	target	sure old	1.050	8	181	59	2
278.012	3	lure old	lure	unsure old	1.037	4	243	60	2
290.010	3	foil new	foil	sure new	1.061	n/a	321	61	2
302.026	3	target old	target	unsure old	0.900	6	165	62	2
314.008	3	lure old	lure	unsure old	0.967	6	263	63	2
326.040	3	target old	target	sure old	1.094	3	133	64	2
338.039	3	target new	target	sure new	1.200	7	175	65	2
350.038	3	lure new	lure	sure new	0.873	3	234	66	2
362.004	3	foil new	foil	sure new	1.003	n/a	324	67	2
374.019	3	target old	target	sure old	0.908	4	147	68	2
386.034	3	lure new	lure	sure new	0.892	1	213	69	2
398.016	3	lure new	lure	sure new	0.967	7	271	70	2
410.032	3	lure old	lure	sure old	1.335	9	293	71	2
422.014	3	lure old	lure	unsure old	1.169	3	232	72	2
