onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.014	3	foil new	foil	sure new	1.737	n/a	328	1	1
14.012	3	foil new	foil	sure new	0.931	n/a	329	2	1
26.011	3	foil new	foil	unsure new	2.220	n/a	330	3	1
38.027	3	foil new	foil	unsure new	2.213	n/a	308	4	1
50.026	3	foil new	foil	unsure new	1.902	n/a	321	5	1
62.008	3	lure new	lure	sure new	1.264	3	233	6	1
74.023	3	lure old	lure	sure old	1.704	9	291	7	1
86.005	3	target old	target	sure old	1.426	8	181	8	1
98.004	3	lure new	lure	unsure new	2.082	4	242	9	1
110.020	3	lure old	lure	sure old	2.372	7	272	10	1
122.018	3	lure old	lure	unsure old	2.277	4	241	11	1
134.017	3	target old	target	unsure old	2.166	3	133	12	1
146.016	3	lure old	lure	sure old	1.951	6	264	13	1
158.015	3	lure old	lure	sure old	1.216	6	263	14	1
170.014	3	foil new	foil	sure new	1.129	n/a	316	15	1
182.012	3	target old	target	sure old	1.235	6	163	16	1
194.011	3	target old	target	sure old	1.268	1	115	17	1
206.010	3	lure old	lure	unsure old	2.014	5	252	18	1
218.025	3	lure old	lure	sure old	2.013	1	214	19	1
230.007	3	target old	target	sure old	1.216	3	135	20	1
242.006	3	foil old	foil	unsure old	2.176	n/a	303	21	1
254.005	3	target old	target	sure old	1.346	2	125	22	1
266.004	3	target old	target	sure old	1.282	5	151	23	1
278.019	3	lure old	lure	unsure old	1.852	2	222	24	1
290.018	3	foil new	foil	sure new	1.157	n/a	312	25	1
302.017	3	lure old	lure	sure old	2.078	8	281	26	1
314.016	3	target old	target	sure old	1.975	1	111	27	1
326.014	3	target old	target	sure old	1.000	4	145	28	1
338.013	3	foil new	foil	sure new	1.090	n/a	313	29	1
350.012	3	lure old	lure	sure old	1.067	5	254	30	1
362.011	3	foil new	foil	sure new	0.963	n/a	325	31	1
374.010	3	foil new	foil	sure new	1.365	n/a	324	32	1
386.008	3	foil new	foil	sure new	1.159	n/a	305	33	1
398.007	3	target old	target	sure old	1.208	2	123	34	1
410.006	3	target old	target	sure old	1.569	7	175	35	1
422.021	3	target old	target	sure old	1.185	9	195	36	1
