onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.015	3	foil new	foil	unsure new	1.767	n/a	331	37	2
14.014	3	foil new	foil	unsure new	2.113	n/a	332	38	2
26.013	3	foil old	foil	unsure old	1.266	n/a	333	39	2
38.012	3	target old	target	sure old	0.947	9	195	40	2
50.011	3	lure old	lure	sure old	1.085	5	254	41	2
62.009	3	lure old	lure	unsure old	1.646	8	281	42	2
74.008	3	target old	target	sure old	0.895	9	191	43	2
86.007	3	foil new	foil	sure new	1.360	n/a	319	44	2
98.006	3	lure old	lure	sure old	2.322	3	234	45	2
110.005	3	foil new	foil	unsure new	2.147	n/a	303	46	2
122.020	3	lure old	lure	unsure old	1.795	6	262	47	2
134.019	3	lure old	lure	sure old	0.932	9	293	48	2
146.018	3	lure old	lure	unsure old	2.293	2	223	49	2
158.016	3	foil new	foil	sure new	1.343	n/a	322	50	2
170.015	3	target old	target	sure old	0.888	8	181	51	2
182.014	3	foil old	foil	sure old	1.257	n/a	325	52	2
194.013	3	target old	target	sure old	0.858	3	131	53	2
206.012	3	target old	target	sure old	1.155	6	167	54	2
218.010	3	lure old	lure	unsure old	1.725	1	214	55	2
230.009	3	foil new	foil	sure new	1.118	n/a	317	56	2
242.008	3	lure new	lure	sure new	1.271	1	212	57	2
254.007	3	lure old	lure	sure old	0.920	7	272	58	2
266.006	3	target old	target	unsure old	1.417	2	125	59	2
278.004	3	target old	target	sure old	1.218	1	117	60	2
290.020	3	foil old	foil	unsure old	2.084	n/a	308	61	2
302.019	3	target old	target	sure old	0.972	4	147	62	2
314.018	3	target old	target	sure old	0.869	8	187	63	2
326.016	3	foil old	foil	unsure old	1.223	n/a	314	64	2
338.015	3	target old	target	sure old	0.768	7	171	65	2
350.014	3	target old	target	sure old	0.785	5	151	66	2
362.013	3	lure old	lure	sure old	0.930	9	292	67	2
374.012	3	target old	target	unsure old	2.172	6	165	68	2
386.010	3	foil new	foil	unsure new	1.644	n/a	311	69	2
398.009	3	lure old	lure	sure old	0.918	4	242	70	2
410.008	3	foil new	foil	sure new	1.695	n/a	306	71	2
422.007	3	lure new	lure	unsure new	1.912	3	233	72	2
