onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.017	3	foil new	foil	sure new	0.646	n/a	334	73	3
14.016	3	foil old	foil	unsure old	1.887	n/a	335	74	3
26.015	3	foil new	foil	unsure new	1.552	n/a	336	75	3
38.014	3	target old	target	sure old	1.529	1	111	76	3
50.013	3	target old	target	sure old	1.235	9	191	77	3
62.011	3	foil new	foil	sure new	0.876	n/a	317	78	3
74.010	3	foil new	foil	sure new	1.165	n/a	309	79	3
86.009	3	foil new	foil	sure new	0.798	n/a	302	80	3
98.008	3	lure old	lure	sure old	0.856	8	282	81	3
110.007	3	lure old	lure	sure old	1.161	9	291	82	3
122.005	3	target old	target	sure old	0.866	6	165	83	3
134.004	3	foil new	foil	sure new	0.835	n/a	327	84	3
146.020	3	lure old	lure	sure old	1.044	7	273	85	3
158.018	3	target old	target	sure old	0.917	5	151	86	3
170.017	3	lure new	lure	sure new	0.782	8	284	87	3
182.016	3	target old	target	sure old	1.127	9	197	88	3
194.015	3	foil new	foil	sure new	0.944	n/a	314	89	3
206.014	3	lure old	lure	unsure old	1.370	5	254	90	3
218.012	3	target old	target	sure old	0.827	7	177	91	3
230.011	3	target new	target	unsure new	1.332	8	183	92	3
242.010	3	target old	target	sure old	1.085	3	135	93	3
254.009	3	lure new	lure	sure new	1.934	4	241	94	3
266.008	3	target old	target	sure old	1.016	2	121	95	3
278.006	3	target old	target	unsure old	1.264	1	115	96	3
290.005	3	lure new	lure	sure new	1.322	2	223	97	3
302.005	3	target new	target	sure new	1.283	4	143	98	3
314.020	3	target old	target	sure old	0.908	2	127	99	3
326.018	3	lure new	lure	sure new	0.981	3	233	100	3
338.017	3	lure old	lure	sure old	1.102	7	271	101	3
350.016	3	lure new	lure	sure new	1.447	3	232	102	3
362.015	3	foil new	foil	sure new	0.761	n/a	305	103	3
374.014	3	lure new	lure	sure new	1.298	6	263	104	3
386.012	3	foil new	foil	sure new	0.739	n/a	323	105	3
398.011	3	foil new	foil	sure new	0.852	n/a	312	106	3
410.010	3	foil new	foil	sure new	1.629	n/a	321	107	3
422.009	3	lure new	lure	unsure new	1.342	1	214	108	3
