onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.005	3	foil new	foil	sure new	0.874	n/a	331	37	2
14.005	3	foil new	foil	sure new	0.930	n/a	332	38	2
26.020	3	foil new	foil	sure new	1.019	n/a	333	39	2
38.019	3	lure new	lure	unsure new	1.340	7	274	40	2
50.017	3	target old	target	sure old	0.926	7	171	41	2
62.016	3	lure old	lure	unsure old	1.471	3	231	42	2
74.015	3	target old	target	sure old	1.120	2	123	43	2
86.014	3	lure new	lure	unsure new	1.425	5	252	44	2
98.012	3	foil new	foil	sure new	1.059	n/a	313	45	2
110.011	3	target old	target	sure old	1.172	1	115	46	2
122.010	3	target old	target	sure old	0.806	3	133	47	2
134.009	3	lure old	lure	sure old	0.950	5	254	48	2
146.008	3	foil old	foil	unsure old	1.672	n/a	318	49	2
158.007	3	lure old	lure	sure old	1.136	1	214	50	2
170.005	3	lure new	lure	sure new	1.338	8	281	51	2
182.005	3	target old	target	sure old	0.931	1	111	52	2
194.020	3	foil new	foil	sure new	0.955	n/a	324	53	2
206.019	3	foil old	foil	unsure old	1.421	n/a	312	54	2
218.018	3	target old	target	sure old	0.781	8	183	55	2
230.016	3	foil new	foil	sure new	0.943	n/a	320	56	2
242.015	3	lure new	lure	unsure new	1.360	4	243	57	2
254.031	3	foil new	foil	sure new	0.969	n/a	309	58	2
266.013	3	target old	target	sure old	0.634	5	151	59	2
278.012	3	target old	target	sure old	0.900	9	195	60	2
290.010	3	lure old	lure	sure old	0.662	1	211	61	2
302.026	3	lure old	lure	sure old	1.037	6	263	62	2
314.008	3	target old	target	sure old	0.824	8	185	63	2
326.007	3	foil old	foil	sure old	0.992	n/a	327	64	2
338.022	3	target old	target	sure old	1.105	4	145	65	2
350.021	3	lure old	lure	unsure old	1.746	2	221	66	2
362.020	3	lure new	lure	unsure new	1.259	3	233	67	2
374.019	3	target old	target	sure old	0.916	7	177	68	2
386.018	3	target old	target	sure old	1.237	6	161	69	2
398.016	3	foil new	foil	sure new	1.039	n/a	302	70	2
410.016	3	lure old	lure	unsure old	1.551	9	292	71	2
422.014	3	foil new	foil	sure new	0.969	n/a	304	72	2
