onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.005	3	foil new	foil	sure new	1.003	n/a	334	73	3
14.020	3	foil old	foil	unsure old	1.340	n/a	335	74	3
26.019	3	foil old	foil	unsure old	1.126	n/a	336	75	3
38.018	3	lure old	lure	unsure old	1.606	4	244	76	3
50.017	3	target old	target	sure old	1.023	2	121	77	3
62.015	3	foil old	foil	sure old	0.856	n/a	307	78	3
74.014	3	lure old	lure	sure old	0.601	7	273	79	3
86.013	3	foil old	foil	unsure old	1.402	n/a	316	80	3
98.012	3	target old	target	sure old	0.548	5	155	81	3
110.010	3	target old	target	sure old	0.605	7	175	82	3
122.009	3	lure old	lure	sure old	1.086	9	294	83	3
134.008	3	target old	target	sure old	1.119	8	187	84	3
146.007	3	lure new	lure	unsure new	1.625	9	293	85	3
158.006	3	foil new	foil	sure new	1.194	n/a	314	86	3
170.021	3	lure old	lure	sure old	0.795	6	261	87	3
182.005	3	target old	target	sure old	0.715	4	141	88	3
194.019	3	lure old	lure	unsure old	1.277	8	284	89	3
206.018	3	target old	target	sure old	0.871	9	191	90	3
218.017	3	lure new	lure	unsure new	1.606	5	251	91	3
230.015	3	foil new	foil	sure new	1.425	n/a	319	92	3
242.014	3	lure new	lure	unsure new	1.449	8	283	93	3
254.013	3	lure old	lure	sure old	0.930	1	212	94	3
266.012	3	target old	target	sure old	1.004	5	157	95	3
278.011	3	target old	target	sure old	0.661	6	165	96	3
290.009	3	foil new	foil	sure new	1.190	n/a	326	97	3
302.008	3	target old	target	sure old	0.919	1	113	98	3
314.007	3	foil new	foil	unsure new	1.425	n/a	306	99	3
326.006	3	lure old	lure	sure old	0.778	7	272	100	3
338.005	3	target old	target	sure old	1.010	3	131	101	3
350.005	3	lure old	lure	sure old	1.171	2	224	102	3
362.019	3	foil new	foil	unsure new	1.157	n/a	310	103	3
374.018	3	target old	target	sure old	0.862	6	167	104	3
386.017	3	foil new	foil	unsure new	1.383	n/a	301	105	3
398.016	3	foil new	foil	sure new	1.120	n/a	323	106	3
410.014	3	lure old	lure	sure old	1.130	3	232	107	3
422.014	3	target old	target	sure old	0.818	2	127	108	3
