onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.007	3	foil new	foil	sure new	1.185	n/a	331	37	2
14.022	3	foil old	foil	sure old	1.209	n/a	332	38	2
26.022	3	foil new	foil	sure new	1.698	n/a	333	39	2
38.020	3	target new	target	unsure new	1.531	1	111	40	2
50.019	3	foil old	foil	unsure old	1.485	n/a	326	41	2
62.018	3	target old	target	sure old	1.422	9	193	42	2
74.017	3	target old	target	sure old	0.943	5	157	43	2
86.015	3	lure old	lure	sure old	0.920	6	264	44	2
98.014	3	foil new	foil	sure new	0.938	n/a	318	45	2
110.013	3	lure old	lure	sure old	1.010	5	253	46	2
122.012	3	lure new	lure	sure new	1.244	9	293	47	2
134.027	3	foil new	foil	sure new	0.980	n/a	303	48	2
146.026	3	foil new	foil	sure new	1.237	n/a	311	49	2
158.025	3	lure old	lure	unsure old	1.607	5	252	50	2
170.007	3	foil new	foil	sure new	1.016	n/a	320	51	2
182.006	3	foil new	foil	unsure new	1.514	n/a	308	52	2
194.004	3	lure old	lure	unsure old	1.579	8	284	53	2
206.020	3	target old	target	sure old	1.108	4	141	54	2
218.019	3	lure new	lure	sure new	1.124	3	234	55	2
230.018	3	target old	target	unsure old	1.534	8	187	56	2
242.016	3	foil new	foil	sure new	1.175	n/a	304	57	2
254.015	3	lure old	lure	unsure old	1.521	7	272	58	2
266.014	3	foil new	foil	sure new	0.905	n/a	322	59	2
278.013	3	lure new	lure	sure new	1.714	2	223	60	2
290.028	3	target old	target	sure old	1.171	2	127	61	2
302.010	3	foil new	foil	sure new	1.725	n/a	315	62	2
314.009	3	lure old	lure	unsure old	1.478	1	212	63	2
326.008	3	target old	target	sure old	1.367	3	133	64	2
338.023	3	target old	target	unsure old	1.392	9	197	65	2
350.022	3	target new	target	unsure new	1.249	7	175	66	2
362.021	3	target old	target	sure old	1.042	7	171	67	2
374.020	3	target old	target	sure old	0.843	5	151	68	2
386.019	3	target old	target	sure old	1.572	6	165	69	2
398.017	3	lure new	lure	sure new	1.341	4	242	70	2
410.016	3	lure new	lure	sure new	1.095	4	243	71	2
422.015	3	lure new	lure	unsure new	1.808	6	261	72	2
