onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.007	3	foil old	foil	unsure old	1.201	n/a	331	37	2
14.006	3	foil old	foil	sure old	1.274	n/a	332	38	2
26.005	3	foil new	foil	unsure new	1.530	n/a	333	39	2
38.006	3	target old	target	sure old	1.002	2	125	40	2
50.019	3	foil old	foil	unsure old	1.805	n/a	309	41	2
62.018	3	foil old	foil	unsure old	1.782	n/a	311	42	2
74.017	3	lure old	lure	sure old	0.943	9	293	43	2
86.016	3	lure old	lure	sure old	1.256	7	273	44	2
98.014	3	foil new	foil	unsure new	1.673	n/a	316	45	2
110.013	3	foil new	foil	sure new	1.891	n/a	319	46	2
122.012	3	foil new	foil	sure new	1.052	n/a	305	47	2
134.011	3	lure old	lure	unsure old	1.493	4	242	48	2
146.026	3	lure old	lure	unsure old	1.597	2	222	49	2
158.008	3	lure old	lure	sure old	1.631	6	262	50	2
170.007	3	target old	target	sure old	0.969	3	131	51	2
182.006	3	foil old	foil	sure old	1.450	n/a	325	52	2
194.005	3	target old	target	sure old	0.747	1	111	53	2
206.004	3	target old	target	sure old	0.964	5	155	54	2
218.019	3	target old	target	sure old	0.917	7	175	55	2
230.018	3	lure old	lure	unsure old	1.773	3	234	56	2
242.017	3	target old	target	sure old	0.847	4	147	57	2
254.016	3	lure new	lure	sure new	1.464	4	244	58	2
266.014	3	target old	target	sure old	0.897	2	127	59	2
278.013	3	target old	target	sure old	0.691	6	165	60	2
290.012	3	foil old	foil	sure old	0.972	n/a	303	61	2
302.011	3	target old	target	sure old	0.789	5	153	62	2
314.010	3	foil old	foil	sure old	1.254	n/a	315	63	2
326.009	3	foil old	foil	unsure old	1.648	n/a	323	64	2
338.007	3	lure old	lure	sure old	1.064	1	212	65	2
350.023	3	lure old	lure	sure old	0.665	6	264	66	2
362.005	3	lure old	lure	sure old	1.235	8	281	67	2
374.021	3	target old	target	sure old	0.819	4	143	68	2
386.019	3	target old	target	unsure old	1.340	8	185	69	2
398.018	3	lure old	lure	sure old	0.846	3	232	70	2
410.017	3	target old	target	sure old	0.862	9	191	71	2
422.016	3	lure old	lure	unsure old	1.776	5	252	72	2
