onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.004	3	foil new	foil	unsure new	1.379	n/a	334	73	3
14.020	3	foil new	foil	unsure new	1.140	n/a	335	74	3
26.018	3	foil new	foil	sure new	1.413	n/a	336	75	3
38.017	3	target old	target	unsure old	1.326	1	113	76	3
50.016	3	lure old	lure	unsure old	1.343	2	221	77	3
62.015	3	foil old	foil	unsure old	1.081	n/a	326	78	3
74.014	3	foil new	foil	sure new	1.138	n/a	320	79	3
86.013	3	target old	target	sure old	1.435	6	167	80	3
98.011	3	lure new	lure	unsure new	1.756	3	233	81	3
110.027	3	lure new	lure	unsure new	1.485	5	252	82	3
122.009	3	target old	target	sure old	1.678	2	123	83	3
134.024	3	lure old	lure	unsure old	1.440	7	271	84	3
146.023	3	lure new	lure	unsure new	1.832	8	283	85	3
158.005	3	target old	target	sure old	0.978	5	153	86	3
170.005	3	lure new	lure	sure new	1.339	5	251	87	3
182.020	3	target old	target	sure old	1.012	8	183	88	3
194.018	3	foil new	foil	sure new	0.965	n/a	318	89	3
206.017	3	foil new	foil	unsure new	2.149	n/a	308	90	3
218.016	3	lure old	lure	unsure old	1.351	7	273	91	3
230.032	3	foil new	foil	unsure new	1.824	n/a	313	92	3
242.014	3	target old	target	sure old	1.426	2	125	93	3
254.029	3	target old	target	unsure old	1.362	7	175	94	3
266.011	3	lure new	lure	unsure new	1.596	9	294	95	3
278.010	3	lure old	lure	unsure old	1.654	4	243	96	3
290.009	3	target old	target	unsure old	1.183	1	115	97	3
302.024	3	lure old	lure	unsure old	1.439	1	212	98	3
314.006	3	lure old	lure	unsure old	1.432	6	263	99	3
326.005	3	target old	target	sure old	0.931	9	193	100	3
338.004	3	foil new	foil	sure new	1.291	n/a	322	101	3
350.019	3	target old	target	sure old	1.316	3	137	102	3
362.018	3	foil new	foil	sure new	1.317	n/a	312	103	3
374.017	3	foil new	foil	sure new	1.718	n/a	302	104	3
386.016	3	foil new	foil	sure new	1.007	n/a	306	105	3
398.015	3	lure old	lure	unsure old	1.289	9	292	106	3
410.014	3	target old	target	sure old	1.058	5	151	107	3
422.013	3	target old	target	sure old	0.786	4	143	108	3
