onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.018	3	foil new	foil	sure new	0.963	n/a	328	1	1
14.016	3	foil new	foil	sure new	1.110	n/a	329	2	1
26.015	3	foil new	foil	sure new	1.246	n/a	330	3	1
38.014	3	target old	target	sure old	1.079	1	117	4	1
50.013	3	target old	target	sure old	1.081	7	177	5	1
62.011	3	target old	target	sure old	0.969	4	147	6	1
74.027	3	foil new	foil	sure new	1.010	n/a	317	7	1
86.009	3	lure old	lure	sure old	1.349	7	272	8	1
98.008	3	target old	target	sure old	1.381	9	191	9	1
110.007	3	lure old	lure	sure old	1.190	2	222	10	1
122.005	3	target old	target	sure old	0.976	5	155	11	1
134.005	3	target old	target	sure old	1.096	2	127	12	1
146.020	3	target old	target	sure old	1.033	6	163	13	1
158.019	3	lure old	lure	unsure old	1.722	4	241	14	1
170.018	3	foil old	foil	sure old	1.940	n/a	327	15	1
182.016	3	lure old	lure	sure old	2.301	1	211	16	1
194.015	3	target old	target	sure old	1.222	8	185	17	1
206.014	3	target old	target	sure old	1.215	3	131	18	1
218.013	3	foil new	foil	unsure new	2.072	n/a	311	19	1
230.028	3	target old	target	sure old	1.353	9	197	20	1
242.010	3	foil new	foil	sure new	1.434	n/a	323	21	1
254.009	3	foil new	foil	unsure new	2.012	n/a	319	22	1
266.008	3	lure old	lure	unsure old	2.182	3	232	23	1
278.023	3	target old	target	sure old	1.293	3	135	24	1
290.022	3	foil new	foil	sure new	1.264	n/a	309	25	1
302.004	3	foil new	foil	unsure new	1.393	n/a	301	26	1
314.020	3	lure new	lure	unsure new	1.897	3	234	27	1
326.018	3	foil new	foil	unsure new	2.211	n/a	305	28	1
338.017	3	lure old	lure	sure old	1.188	5	253	29	1
350.016	3	lure old	lure	unsure old	2.029	6	264	30	1
362.015	3	lure new	lure	unsure new	1.693	8	281	31	1
374.014	3	target old	target	sure old	1.263	7	173	32	1
386.013	3	foil new	foil	sure new	1.552	n/a	314	33	1
398.011	3	lure new	lure	unsure new	2.066	9	293	34	1
410.010	3	lure old	lure	unsure old	1.883	6	261	35	1
422.025	3	lure new	lure	sure new	1.764	2	224	36	1
