onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.006	3	foil new	foil	sure new	1.033	n/a	328	1	1
14.005	3	foil new	foil	sure new	0.946	n/a	329	2	1
26.020	3	foil old	foil	unsure old	1.530	n/a	330	3	1
38.019	3	target new	target	sure new	1.396	9	197	4	1
50.018	3	target old	target	sure old	0.837	5	153	5	1
62.017	3	foil old	foil	unsure old	1.622	n/a	318	6	1
74.015	3	foil new	foil	sure new	1.127	n/a	322	7	1
86.014	3	target old	target	sure old	0.824	5	155	8	1
98.013	3	target old	target	sure old	1.954	2	125	9	1
110.029	3	target old	target	unsure old	2.202	8	185	10	1
122.011	3	target old	target	sure old	1.180	3	131	11	1
134.009	3	lure old	lure	unsure old	1.757	8	281	12	1
146.025	3	lure old	lure	sure old	0.893	5	251	13	1
158.007	3	foil new	foil	sure new	1.048	n/a	306	14	1
170.022	3	target old	target	sure old	0.736	3	137	15	1
182.021	3	foil new	foil	unsure new	1.570	n/a	310	16	1
194.020	3	target old	target	sure old	0.690	7	171	17	1
206.019	3	lure old	lure	unsure old	1.363	4	243	18	1
218.018	3	lure old	lure	unsure old	1.349	9	292	19	1
230.016	3	foil new	foil	unsure new	1.070	n/a	314	20	1
242.015	3	lure old	lure	sure old	1.583	1	212	21	1
254.014	3	target old	target	unsure old	1.872	6	167	22	1
266.013	3	foil new	foil	unsure new	1.314	n/a	309	23	1
278.012	3	lure old	lure	unsure old	1.651	2	222	24	1
290.011	3	lure old	lure	unsure old	1.868	6	261	25	1
302.009	3	lure new	lure	sure new	1.150	3	234	26	1
314.008	3	foil old	foil	unsure old	1.238	n/a	301	27	1
326.007	3	foil old	foil	sure old	0.784	n/a	327	28	1
338.022	3	lure old	lure	sure old	1.784	5	252	29	1
350.005	3	foil new	foil	unsure new	1.722	n/a	319	30	1
362.020	3	target old	target	unsure old	1.546	9	195	31	1
374.019	3	target old	target	sure old	1.604	1	113	32	1
386.018	3	target old	target	unsure old	1.189	4	147	33	1
398.016	3	lure old	lure	unsure old	1.374	7	274	34	1
410.015	3	lure old	lure	unsure old	1.695	3	232	35	1
422.014	3	lure new	lure	unsure new	1.713	2	221	36	1
