onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.012	3	foil new	foil	sure new	1.092	n/a	334	73	3
14.011	3	foil new	foil	sure new	1.045	n/a	335	74	3
26.009	3	foil new	foil	sure new	1.342	n/a	336	75	3
38.008	3	target old	target	unsure old	1.831	1	113	76	3
50.007	3	lure old	lure	unsure old	1.873	7	273	77	3
62.006	3	lure new	lure	sure new	2.250	2	222	78	3
74.005	3	target old	target	sure old	0.931	4	143	79	3
86.020	3	target old	target	sure old	0.860	3	133	80	3
98.019	3	foil old	foil	unsure old	2.068	n/a	318	81	3
110.018	3	lure old	lure	sure old	0.934	5	253	82	3
122.017	3	target old	target	sure old	1.207	6	167	83	3
134.015	3	target old	target	sure old	1.168	5	153	84	3
146.014	3	lure new	lure	sure new	1.274	9	294	85	3
158.013	3	lure old	lure	sure old	1.291	1	212	86	3
170.012	3	foil new	foil	sure new	1.012	n/a	319	87	3
182.011	3	foil new	foil	sure new	0.957	n/a	305	88	3
194.009	3	lure old	lure	unsure old	2.199	8	281	89	3
206.008	3	lure old	lure	sure old	1.024	3	231	90	3
218.007	3	target old	target	unsure old	1.857	9	195	91	3
230.006	3	lure old	lure	sure old	0.802	6	264	92	3
242.005	3	target new	target	sure new	1.643	8	181	93	3
254.020	3	foil new	foil	sure new	1.172	n/a	313	94	3
266.019	3	target new	target	sure new	1.245	4	141	95	3
278.018	3	target old	target	unsure old	1.517	8	187	96	3
290.017	3	foil new	foil	sure new	0.991	n/a	312	97	3
302.015	3	lure new	lure	sure new	1.192	8	283	98	3
314.014	3	lure new	lure	sure new	1.898	4	243	99	3
326.013	3	foil new	foil	sure new	2.250	n/a	327	100	3
338.012	3	target old	target	unsure old	2.308	5	155	101	3
350.011	3	target old	target	sure old	1.253	2	127	102	3
362.009	3	foil new	foil	sure new	0.966	n/a	302	103	3
374.009	3	foil new	foil	sure new	0.967	n/a	322	104	3
386.007	3	foil new	foil	sure new	1.024	n/a	307	105	3
398.006	3	lure old	lure	sure old	0.954	5	252	106	3
410.005	3	target new	target	unsure new	1.667	7	177	107	3
422.020	3	lure old	lure	sure old	1.036	1	214	108	3
