onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.016	3	foil new	foil	sure new	0.895	n/a	331	37	2
14.014	3	foil new	foil	sure new	0.800	n/a	332	38	2
26.013	3	foil new	foil	sure new	0.770	n/a	333	39	2
38.012	3	foil new	foil	sure new	0.691	n/a	304	40	2
50.011	3	target old	target	sure old	1.100	3	137	41	2
62.010	3	target old	target	sure old	0.982	7	173	42	2
74.008	3	lure old	lure	unsure old	1.551	1	211	43	2
86.024	3	target old	target	sure old	0.878	1	117	44	2
98.022	3	lure new	lure	sure new	1.017	9	293	45	2
110.005	3	target old	target	sure old	0.866	5	155	46	2
122.020	3	lure new	lure	sure new	1.107	8	284	47	2
134.019	3	target old	target	sure old	1.356	8	185	48	2
146.018	3	target old	target	sure old	1.029	6	163	49	2
158.017	3	foil new	foil	sure new	0.814	n/a	311	50	2
170.015	3	target old	target	sure old	0.816	4	143	51	2
182.014	3	foil new	foil	sure new	0.857	n/a	321	52	2
194.013	3	lure old	lure	sure old	0.858	5	254	53	2
206.011	3	foil new	foil	sure new	0.659	n/a	308	54	2
218.027	3	foil new	foil	sure new	0.763	n/a	302	55	2
230.026	3	lure new	lure	sure new	1.133	4	244	56	2
242.008	3	target old	target	sure old	0.758	5	151	57	2
254.023	3	lure old	lure	unsure old	1.383	2	224	58	2
266.005	3	lure old	lure	unsure old	1.458	7	272	59	2
278.005	3	lure old	lure	sure old	1.514	6	261	60	2
290.020	3	lure new	lure	sure new	1.227	5	252	61	2
302.019	3	target old	target	sure old	0.924	3	133	62	2
314.017	3	foil new	foil	sure new	0.901	n/a	324	63	2
326.016	3	foil new	foil	sure new	0.791	n/a	326	64	2
338.015	3	lure new	lure	sure new	1.112	4	243	65	2
350.014	3	target old	target	sure old	0.976	2	123	66	2
362.029	3	lure new	lure	sure new	0.873	3	234	67	2
374.028	3	foil new	foil	sure new	0.954	n/a	313	68	2
386.027	3	target old	target	sure old	1.140	2	121	69	2
398.025	3	foil new	foil	sure new	0.893	n/a	317	70	2
410.025	3	lure old	lure	unsure old	1.534	6	263	71	2
422.007	3	target old	target	sure old	1.040	9	193	72	2
