onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.015	3	foil new	foil	sure new	1.574	n/a	328	1	1
14.013	3	foil new	foil	sure new	1.048	n/a	329	2	1
26.012	3	foil new	foil	sure new	1.185	n/a	330	3	1
38.011	3	lure old	lure	sure old	1.442	5	253	4	1
50.010	3	foil new	foil	sure new	1.195	n/a	326	5	1
62.025	3	foil new	foil	unsure new	2.124	n/a	310	6	1
74.007	3	target old	target	unsure old	2.061	8	183	7	1
86.023	3	lure new	lure	sure new	1.334	1	212	8	1
98.005	3	lure new	lure	sure new	1.256	6	262	9	1
110.004	3	lure new	lure	unsure new	1.656	8	283	10	1
122.019	3	foil new	foil	sure new	1.442	n/a	320	11	1
134.018	3	target old	target	sure old	1.442	9	195	12	1
146.017	3	target old	target	sure old	1.100	1	117	13	1
158.016	3	lure old	lure	sure old	1.485	3	231	14	1
170.015	3	foil new	foil	unsure new	2.630	n/a	323	15	1
182.013	3	foil new	foil	sure new	1.568	n/a	305	16	1
194.012	3	foil old	foil	unsure old	1.889	n/a	318	17	1
206.028	3	foil new	foil	sure new	1.137	n/a	313	18	1
218.027	3	target old	target	sure old	1.843	9	191	19	1
230.009	3	target old	target	sure old	1.173	3	133	20	1
242.024	3	foil old	foil	sure old	1.829	n/a	301	21	1
254.023	3	target old	target	sure old	0.942	3	131	22	1
266.005	3	foil old	foil	unsure old	2.584	n/a	307	23	1
278.021	3	target old	target	unsure old	2.152	6	163	24	1
290.020	3	target old	target	sure old	2.626	7	173	25	1
302.018	3	lure old	lure	sure old	1.067	4	243	26	1
314.017	3	lure old	lure	sure old	1.252	6	261	27	1
326.016	3	target old	target	sure old	0.885	4	145	28	1
338.015	3	target old	target	sure old	0.999	5	151	29	1
350.014	3	lure old	lure	sure old	1.120	1	211	30	1
362.013	3	target old	target	unsure old	1.697	1	115	31	1
374.011	3	lure new	lure	unsure new	1.682	7	274	32	1
386.027	3	lure new	lure	sure new	1.546	2	221	33	1
398.026	3	lure old	lure	sure old	1.692	9	291	34	1
410.025	3	target new	target	sure new	1.509	2	125	35	1
422.023	3	lure old	lure	unsure old	1.462	3	233	36	1
