onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.009	3	foil new	foil	unsure new	1.783	n/a	334	73	3
14.008	3	foil new	foil	sure new	1.128	n/a	335	74	3
26.006	3	foil new	foil	sure new	1.649	n/a	336	75	3
38.022	3	foil new	foil	sure new	1.402	n/a	324	76	3
50.021	3	foil new	foil	unsure new	1.907	n/a	325	77	3
62.020	3	foil old	foil	sure old	2.204	n/a	306	78	3
74.018	3	target old	target	sure old	0.933	7	171	79	3
86.017	3	target old	target	sure old	1.199	1	111	80	3
98.016	3	lure old	lure	unsure old	1.472	7	271	81	3
110.015	3	foil new	foil	sure new	1.288	n/a	309	82	3
122.014	3	foil new	foil	unsure new	1.994	n/a	314	83	3
134.012	3	foil old	foil	unsure old	1.835	n/a	302	84	3
146.028	3	target old	target	sure old	1.172	6	167	85	3
158.010	3	target old	target	sure old	0.781	4	147	86	3
170.026	3	target old	target	sure old	0.934	8	181	87	3
182.008	3	lure old	lure	unsure old	1.816	1	213	88	3
194.023	3	target old	target	sure old	0.864	9	197	89	3
206.022	3	lure old	lure	sure old	1.498	9	292	90	3
218.021	3	lure new	lure	sure new	1.459	4	242	91	3
230.020	3	foil old	foil	unsure old	1.388	n/a	316	92	3
242.018	3	target old	target	sure old	1.221	8	185	93	3
254.017	3	target old	target	sure old	1.262	2	123	94	3
266.016	3	lure old	lure	sure old	0.864	8	282	95	3
278.015	3	foil old	foil	unsure old	1.745	n/a	321	96	3
290.014	3	foil new	foil	unsure new	2.018	n/a	312	97	3
302.012	3	target old	target	sure old	0.947	5	157	98	3
314.011	3	lure old	lure	sure old	1.380	5	251	99	3
326.010	3	lure old	lure	sure old	1.117	7	273	100	3
338.026	3	lure new	lure	unsure new	1.862	2	224	101	3
350.025	3	target old	target	sure old	0.927	3	137	102	3
362.007	3	lure old	lure	sure old	1.201	3	232	103	3
374.005	3	target old	target	sure old	0.906	7	177	104	3
386.021	3	lure old	lure	unsure old	1.635	9	294	105	3
398.020	3	target old	target	sure old	0.988	6	161	106	3
410.019	3	lure old	lure	sure old	0.789	6	263	107	3
422.018	3	lure old	lure	sure old	0.798	8	281	108	3
