onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.017	3	foil new	foil	sure new	1.230	n/a	328	1	1
14.016	3	foil new	foil	sure new	1.047	n/a	329	2	1
26.014	3	foil new	foil	sure new	1.441	n/a	330	3	1
38.013	3	lure new	lure	unsure new	2.073	2	221	4	1
50.012	3	target new	target	sure new	1.179	1	115	5	1
62.011	3	target old	target	unsure old	1.781	1	113	6	1
74.010	3	foil new	foil	sure new	1.101	n/a	307	7	1
86.009	3	foil new	foil	sure new	1.078	n/a	302	8	1
98.007	3	target old	target	sure old	1.096	5	157	9	1
110.006	3	foil new	foil	sure new	1.536	n/a	318	10	1
122.005	3	target old	target	sure old	1.153	8	185	11	1
134.021	3	lure new	lure	unsure new	1.690	6	262	12	1
146.020	3	foil new	foil	unsure new	1.403	n/a	314	13	1
158.018	3	lure old	lure	unsure old	1.749	6	261	14	1
170.017	3	lure new	lure	sure new	1.422	3	234	15	1
182.016	3	target old	target	sure old	0.999	7	177	16	1
194.014	3	lure new	lure	unsure new	1.720	4	242	17	1
206.013	3	target old	target	sure old	1.457	6	167	18	1
218.013	3	target old	target	sure old	1.146	9	195	19	1
230.011	3	target new	target	unsure new	1.588	4	141	20	1
242.010	3	foil old	foil	unsure old	1.685	n/a	326	21	1
254.008	3	lure new	lure	unsure new	1.575	4	241	22	1
266.007	3	target old	target	sure old	0.928	5	153	23	1
278.006	3	lure old	lure	unsure old	1.889	1	211	24	1
290.005	3	lure old	lure	unsure old	1.530	9	293	25	1
302.004	3	foil new	foil	sure new	1.450	n/a	320	26	1
314.019	3	lure old	lure	unsure old	2.124	7	273	27	1
326.018	3	foil new	foil	unsure new	1.821	n/a	324	28	1
338.017	3	foil new	foil	unsure new	1.974	n/a	305	29	1
350.016	3	foil new	foil	sure new	1.167	n/a	312	30	1
362.015	3	target new	target	unsure new	1.792	3	133	31	1
374.013	3	lure new	lure	unsure new	1.114	8	284	32	1
386.012	3	lure new	lure	sure new	1.091	3	233	33	1
398.011	3	target old	target	sure old	0.900	7	171	34	1
410.026	3	lure old	lure	sure old	1.532	5	252	35	1
422.025	3	target old	target	sure old	1.197	2	127	36	1
