onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.007	3	foil new	foil	sure new	1.296	n/a	328	1	1
14.006	3	foil new	foil	sure new	0.906	n/a	329	2	1
26.022	3	foil new	foil	sure new	1.042	n/a	330	3	1
38.006	3	foil new	foil	sure new	0.826	n/a	314	4	1
50.020	3	lure new	lure	sure new	0.892	9	292	5	1
62.018	3	foil new	foil	sure new	1.142	n/a	318	6	1
74.017	3	foil new	foil	sure new	0.727	n/a	323	7	1
86.016	3	target old	target	sure old	1.200	5	157	8	1
98.014	3	foil new	foil	sure new	0.929	n/a	308	9	1
110.013	3	foil new	foil	sure new	0.802	n/a	302	10	1
122.012	3	foil new	foil	sure new	1.075	n/a	312	11	1
134.027	3	lure old	lure	sure old	1.164	5	253	12	1
146.009	3	target old	target	sure old	1.015	6	161	13	1
158.008	3	target old	target	sure old	1.287	3	133	14	1
170.007	3	lure new	lure	sure new	0.865	1	214	15	1
182.006	3	target old	target	sure old	1.074	9	195	16	1
194.004	3	foil new	foil	sure new	0.788	n/a	320	17	1
206.020	3	foil new	foil	sure new	0.884	n/a	325	18	1
218.019	3	target old	target	sure old	0.828	4	141	19	1
230.018	3	target old	target	sure old	1.174	1	117	20	1
242.016	3	lure old	lure	sure old	1.151	6	263	21	1
254.015	3	target old	target	sure old	0.968	9	193	22	1
266.014	3	target old	target	sure old	0.802	7	171	23	1
278.013	3	target old	target	sure old	0.770	8	181	24	1
290.012	3	target old	target	sure old	0.756	7	173	25	1
302.011	3	foil new	foil	sure new	0.838	n/a	304	26	1
314.009	3	target new	target	sure new	1.623	2	125	27	1
326.008	3	lure new	lure	sure new	1.080	8	284	28	1
338.024	3	lure old	lure	sure old	0.728	7	272	29	1
350.006	3	target old	target	sure old	0.858	1	111	30	1
362.004	3	lure new	lure	sure new	1.539	2	223	31	1
374.020	3	lure old	lure	unsure old	2.140	1	213	32	1
386.019	3	lure old	lure	unsure old	2.180	2	222	33	1
398.018	3	lure old	lure	sure old	0.845	5	254	34	1
410.016	3	lure new	lure	unsure new	1.991	3	232	35	1
422.015	3	lure old	lure	sure old	1.696	4	243	36	1
