onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.012	3	foil new	foil	sure new	1.035	n/a	334	73	3
14.011	3	foil new	foil	sure new	1.196	n/a	335	74	3
26.010	3	foil new	foil	sure new	0.989	n/a	336	75	3
38.008	3	target old	target	sure old	0.967	5	157	76	3
50.007	3	lure new	lure	unsure new	2.000	9	293	77	3
62.006	3	lure new	lure	unsure new	1.793	1	214	78	3
74.021	3	lure old	lure	unsure old	1.538	4	241	79	3
86.020	3	lure new	lure	unsure new	1.331	2	224	80	3
98.019	3	lure new	lure	sure new	1.075	8	284	81	3
110.018	3	target old	target	sure old	1.461	9	195	82	3
122.017	3	target old	target	sure old	1.606	3	137	83	3
134.016	3	foil new	foil	unsure new	1.575	n/a	308	84	3
146.014	3	foil new	foil	sure new	1.129	n/a	312	85	3
158.013	3	foil new	foil	sure new	0.906	n/a	301	86	3
170.012	3	target old	target	sure old	1.163	8	185	87	3
182.011	3	lure new	lure	unsure new	1.956	6	264	88	3
194.026	3	target old	target	sure old	1.124	9	191	89	3
206.008	3	lure old	lure	unsure old	1.527	6	263	90	3
218.024	3	target old	target	sure old	1.063	1	117	91	3
230.006	3	target old	target	sure old	0.913	6	167	92	3
242.021	3	lure old	lure	sure old	0.825	5	253	93	3
254.020	3	foil new	foil	sure new	0.995	n/a	326	94	3
266.019	3	target old	target	sure old	1.276	2	123	95	3
278.018	3	foil new	foil	sure new	1.045	n/a	320	96	3
290.016	3	foil new	foil	sure new	1.070	n/a	317	97	3
302.015	3	target old	target	sure old	0.823	7	173	98	3
314.014	3	target old	target	sure old	0.977	7	175	99	3
326.013	3	lure old	lure	sure old	1.042	4	242	100	3
338.012	3	lure old	lure	sure old	1.547	7	273	101	3
350.010	3	foil new	foil	sure new	1.092	n/a	315	102	3
362.026	3	foil new	foil	sure new	0.957	n/a	324	103	3
374.008	3	foil new	foil	sure new	1.214	n/a	304	104	3
386.007	3	target old	target	sure old	1.072	4	145	105	3
398.006	3	lure new	lure	unsure new	1.609	5	252	106	3
410.004	3	lure old	lure	unsure old	1.898	3	233	107	3
422.020	3	target old	target	sure old	0.979	8	181	108	3
