onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.013	3	foil new	foil	sure new	0.927	n/a	331	37	2
14.029	3	foil new	foil	sure new	0.903	n/a	332	38	2
26.027	3	foil new	foil	sure new	0.921	n/a	333	39	2
38.010	3	lure new	lure	unsure new	1.738	8	282	40	2
50.009	3	target old	target	sure old	1.716	7	171	41	2
62.007	3	lure new	lure	sure new	1.133	2	223	42	2
74.006	3	lure new	lure	sure new	1.294	4	244	43	2
86.005	3	target old	target	sure old	1.160	5	151	44	2
98.005	3	target old	target	sure old	0.896	5	155	45	2
110.019	3	foil new	foil	sure new	1.018	n/a	305	46	2
122.018	3	foil new	foil	sure new	0.898	n/a	311	47	2
134.017	3	lure new	lure	sure new	0.868	3	234	48	2
146.015	3	target new	target	unsure new	1.917	1	115	49	2
158.015	3	target old	target	sure old	1.358	6	161	50	2
170.013	3	foil new	foil	sure new	0.920	n/a	321	51	2
182.012	3	target old	target	sure old	1.929	9	197	52	2
194.011	3	lure new	lure	unsure new	1.906	9	291	53	2
206.009	3	foil new	foil	sure new	0.915	n/a	323	54	2
218.008	3	target old	target	sure old	1.484	2	125	55	2
230.007	3	lure new	lure	unsure new	1.614	1	213	56	2
242.006	3	lure old	lure	unsure old	1.823	7	274	57	2
254.005	3	target old	target	sure old	2.080	2	121	58	2
266.005	3	lure new	lure	unsure new	1.911	5	251	59	2
278.019	3	foil new	foil	sure new	0.945	n/a	309	60	2
290.018	3	foil new	foil	sure new	1.523	n/a	318	61	2
302.017	3	target old	target	sure old	1.396	3	135	62	2
314.016	3	target old	target	sure old	0.821	4	143	63	2
326.014	3	lure new	lure	sure new	1.102	8	283	64	2
338.013	3	foil new	foil	unsure new	1.136	n/a	327	65	2
350.012	3	lure old	lure	unsure old	1.441	6	261	66	2
362.011	3	lure new	lure	unsure new	1.721	1	212	67	2
374.009	3	foil new	foil	sure new	1.803	n/a	313	68	2
386.008	3	target old	target	sure old	1.500	1	111	69	2
398.007	3	target old	target	sure old	1.501	8	187	70	2
410.006	3	foil new	foil	unsure new	1.726	n/a	302	71	2
422.004	3	lure old	lure	unsure old	1.424	2	221	72	2
