onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.018	3	foil new	foil	sure new	1.454	n/a	331	37	2
14.016	3	foil new	foil	unsure new	1.727	n/a	332	38	2
26.015	3	foil new	foil	sure new	0.776	n/a	333	39	2
38.014	3	lure new	lure	sure new	0.745	2	223	40	2
50.013	3	lure new	lure	sure new	1.651	3	233	41	2
62.012	3	lure old	lure	sure old	1.132	7	274	42	2
74.010	3	target old	target	sure old	0.788	7	175	43	2
86.009	3	foil new	foil	unsure new	1.710	n/a	313	44	2
98.008	3	foil new	foil	sure new	1.623	n/a	325	45	2
110.007	3	lure old	lure	unsure old	1.561	5	252	46	2
122.006	3	foil new	foil	sure new	1.018	n/a	321	47	2
134.005	3	foil old	foil	sure old	1.210	n/a	310	48	2
146.020	3	target old	target	sure old	0.987	9	195	49	2
158.019	3	target old	target	sure old	0.789	6	167	50	2
170.018	3	lure old	lure	unsure old	1.726	8	281	51	2
182.016	3	target old	target	sure old	0.815	7	173	52	2
194.015	3	lure old	lure	sure old	0.792	7	271	53	2
206.014	3	foil new	foil	sure new	1.009	n/a	302	54	2
218.013	3	n/a	lure	n/a	n/a	1	214	55	2
230.012	3	lure old	lure	sure old	1.428	1	211	56	2
242.010	3	lure old	lure	sure old	1.501	5	254	57	2
254.009	3	target old	target	sure old	0.742	5	153	58	2
266.008	3	target old	target	sure old	0.887	2	121	59	2
278.007	3	target old	target	sure old	0.745	1	115	60	2
290.006	3	target old	target	sure old	0.730	2	127	61	2
302.005	3	lure old	lure	sure old	0.763	6	261	62	2
314.005	3	target old	target	sure old	0.738	4	147	63	2
326.019	3	foil new	foil	sure new	1.692	n/a	305	64	2
338.018	3	foil new	foil	sure new	0.822	n/a	317	65	2
350.017	3	foil new	foil	sure new	1.503	n/a	307	66	2
362.015	3	foil new	foil	sure new	0.984	n/a	323	67	2
374.014	3	lure old	lure	sure old	1.201	9	291	68	2
386.013	3	target old	target	sure old	0.811	5	155	69	2
398.012	3	target old	target	sure old	0.659	8	181	70	2
410.011	3	target new	target	sure new	1.261	3	133	71	2
422.010	3	lure old	lure	unsure old	1.550	4	242	72	2
