onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.006	3	foil new	foil	sure new	0.826	n/a	334	73	3
14.005	3	foil new	foil	sure new	0.891	n/a	335	74	3
26.005	3	foil new	foil	sure new	1.275	n/a	336	75	3
38.019	3	lure old	lure	unsure old	1.181	1	214	76	3
50.018	3	foil new	foil	sure new	0.910	n/a	302	77	3
62.016	3	target new	target	sure new	0.895	5	155	78	3
74.015	3	lure old	lure	unsure old	1.944	4	241	79	3
86.014	3	foil new	foil	unsure new	1.914	n/a	312	80	3
98.013	3	foil new	foil	sure new	1.147	n/a	326	81	3
110.012	3	foil new	foil	sure new	1.012	n/a	323	82	3
122.011	3	foil new	foil	sure new	0.949	n/a	317	83	3
134.009	3	target old	target	sure old	0.974	7	175	84	3
146.008	3	lure new	lure	sure new	1.160	8	284	85	3
158.007	3	foil new	foil	sure new	1.873	n/a	315	86	3
170.006	3	lure new	lure	unsure new	1.370	7	273	87	3
182.004	3	target old	target	sure old	0.827	4	145	88	3
194.020	3	lure old	lure	sure old	1.940	9	293	89	3
206.019	3	target old	target	unsure old	1.461	8	185	90	3
218.018	3	target old	target	sure old	0.902	9	191	91	3
230.016	3	target old	target	unsure old	1.919	1	111	92	3
242.015	3	target old	target	sure old	0.784	2	127	93	3
254.014	3	target old	target	sure old	0.874	9	195	94	3
266.013	3	lure new	lure	sure new	1.299	4	242	95	3
278.012	3	lure new	lure	unsure new	1.596	2	223	96	3
290.010	3	target old	target	sure old	0.781	6	163	97	3
302.009	3	target old	target	sure old	1.183	7	173	98	3
314.008	3	lure new	lure	sure new	1.655	3	231	99	3
326.007	3	foil new	foil	sure new	1.025	n/a	305	100	3
338.006	3	target new	target	sure new	1.178	3	135	101	3
350.004	3	foil new	foil	sure new	0.931	n/a	309	102	3
362.020	3	lure old	lure	unsure old	1.515	8	282	103	3
374.019	3	target old	target	sure old	1.189	1	117	104	3
386.018	3	foil new	foil	unsure new	1.118	n/a	319	105	3
398.017	3	lure new	lure	sure new	1.591	6	262	106	3
410.015	3	lure new	lure	sure new	1.264	1	211	107	3
422.014	3	lure old	lure	unsure old	1.338	5	251	108	3
