onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.009	3	foil new	foil	sure new	1.758	n/a	328	1	1
14.008	3	foil new	foil	sure new	1.207	n/a	329	2	1
26.007	3	foil new	foil	unsure new	1.201	n/a	330	3	1
38.022	3	foil new	foil	unsure new	1.449	n/a	321	4	1
50.004	3	lure new	lure	sure new	0.882	4	244	5	1
62.020	3	target old	target	sure old	1.483	8	181	6	1
74.035	3	foil new	foil	sure new	1.044	n/a	301	7	1
86.017	3	lure new	lure	unsure new	2.005	2	224	8	1
98.016	3	foil old	foil	unsure old	1.431	n/a	314	9	1
110.032	3	foil old	foil	unsure old	1.247	n/a	312	10	1
122.014	3	target old	target	unsure old	1.553	6	161	11	1
134.013	3	foil new	foil	sure new	1.202	n/a	323	12	1
146.011	3	foil new	foil	unsure new	1.732	n/a	307	13	1
158.010	3	target new	target	unsure new	1.861	7	171	14	1
170.009	3	target old	target	sure old	1.094	3	137	15	1
182.008	3	lure new	lure	sure new	1.231	5	252	16	1
194.023	3	foil new	foil	sure new	1.239	n/a	316	17	1
206.005	3	lure old	lure	unsure old	1.322	8	281	18	1
218.005	3	lure old	lure	sure old	1.274	5	254	19	1
230.020	3	target old	target	sure old	0.963	6	167	20	1
242.035	3	target old	target	sure old	0.996	1	115	21	1
254.034	3	foil new	foil	sure new	1.124	n/a	305	22	1
266.016	3	target old	target	sure old	1.151	5	155	23	1
278.015	3	target new	target	sure new	1.160	4	147	24	1
290.031	3	lure old	lure	unsure old	1.448	2	222	25	1
302.013	3	lure new	lure	unsure new	1.419	3	231	26	1
314.011	3	target old	target	sure old	0.916	5	157	27	1
326.010	3	lure old	lure	unsure old	1.285	7	273	28	1
338.009	3	target old	target	sure old	1.078	9	191	29	1
350.008	3	lure old	lure	sure old	1.527	1	214	30	1
362.006	3	lure new	lure	sure new	1.088	9	293	31	1
374.005	3	target new	target	sure new	1.234	2	121	32	1
386.004	3	foil old	foil	unsure old	1.946	n/a	325	33	1
398.036	3	lure new	lure	unsure new	1.547	1	211	34	1
410.035	3	target old	target	sure old	1.124	4	145	35	1
422.017	3	lure old	lure	sure old	0.885	6	263	36	1
