onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.014	3	foil new	foil	sure new	1.034	n/a	328	1	1
14.012	3	foil new	foil	sure new	0.771	n/a	329	2	1
26.011	3	foil new	foil	sure new	0.797	n/a	330	3	1
38.010	3	lure new	lure	sure new	0.781	4	241	4	1
50.009	3	lure new	lure	sure new	0.983	3	232	5	1
62.008	3	target old	target	sure old	1.088	2	123	6	1
74.007	3	target old	target	sure old	0.841	3	135	7	1
86.005	3	target old	target	sure old	1.042	8	185	8	1
98.004	3	target old	target	sure old	0.779	7	171	9	1
110.020	3	foil new	foil	sure new	0.852	n/a	322	10	1
122.019	3	foil new	foil	sure new	1.021	n/a	312	11	1
134.017	3	lure old	lure	unsure old	1.510	8	281	12	1
146.016	3	foil new	foil	sure new	0.824	n/a	317	13	1
158.015	3	foil new	foil	sure new	0.880	n/a	315	14	1
170.014	3	lure new	lure	unsure new	1.474	6	261	15	1
182.012	3	lure new	lure	sure new	0.963	2	223	16	1
194.011	3	target old	target	sure old	1.004	9	197	17	1
206.010	3	foil new	foil	sure new	0.942	n/a	306	18	1
218.009	3	lure old	lure	sure old	0.927	9	291	19	1
230.008	3	lure new	lure	sure new	1.624	1	211	20	1
242.007	3	foil new	foil	sure new	0.897	n/a	302	21	1
254.005	3	foil new	foil	sure new	0.954	n/a	319	22	1
266.004	3	foil new	foil	sure new	0.932	n/a	307	23	1
278.020	3	target old	target	sure old	0.812	1	117	24	1
290.019	3	target old	target	sure old	1.381	4	147	25	1
302.017	3	lure old	lure	sure old	1.623	7	273	26	1
314.016	3	lure old	lure	unsure old	2.080	9	292	27	1
326.015	3	target old	target	sure old	1.009	6	161	28	1
338.014	3	lure new	lure	sure new	1.098	3	234	29	1
350.013	3	target old	target	sure old	1.243	2	121	30	1
362.012	3	foil new	foil	unsure new	1.485	n/a	326	31	1
374.010	3	lure new	lure	sure new	1.037	4	243	32	1
386.009	3	target old	target	sure old	0.791	8	183	33	1
398.008	3	target old	target	sure old	0.976	5	151	34	1
410.007	3	lure old	lure	sure old	0.705	5	253	35	1
422.006	3	target old	target	sure old	0.690	1	113	36	1
