onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.016	3	foil new	foil	sure new	0.957	n/a	331	37	2
14.014	3	foil new	foil	unsure new	1.862	n/a	332	38	2
26.013	3	foil new	foil	sure new	1.112	n/a	333	39	2
38.012	3	foil new	foil	sure new	1.504	n/a	311	40	2
50.011	3	lure new	lure	unsure new	1.874	1	214	41	2
62.010	3	lure old	lure	sure old	1.411	5	252	42	2
74.025	3	foil new	foil	sure new	1.651	n/a	303	43	2
86.007	3	target old	target	sure old	1.629	8	187	44	2
98.023	3	foil old	foil	sure old	1.710	n/a	304	45	2
110.005	3	foil old	foil	sure old	1.263	n/a	315	46	2
122.020	3	lure old	lure	sure old	1.352	9	293	47	2
134.019	3	lure new	lure	unsure new	1.866	8	284	48	2
146.018	3	foil new	foil	sure new	2.059	n/a	319	49	2
158.017	3	lure new	lure	unsure new	1.316	2	222	50	2
170.016	3	target old	target	sure old	1.053	1	113	51	2
182.014	3	target old	target	sure old	1.671	2	121	52	2
194.013	3	foil old	foil	sure old	1.240	n/a	327	53	2
206.012	3	target old	target	sure old	1.073	4	141	54	2
218.011	3	target old	target	sure old	0.802	7	175	55	2
230.026	3	foil old	foil	unsure old	2.170	n/a	322	56	2
242.025	3	target old	target	sure old	1.060	5	155	57	2
254.007	3	lure new	lure	unsure new	1.830	4	244	58	2
266.023	3	lure new	lure	sure new	1.598	2	223	59	2
278.005	3	lure old	lure	unsure old	2.191	3	234	60	2
290.004	3	lure old	lure	sure old	0.897	6	264	61	2
302.019	3	lure old	lure	sure old	0.922	7	272	62	2
314.018	3	lure old	lure	unsure old	1.786	5	254	63	2
326.017	3	foil new	foil	unsure new	2.156	n/a	317	64	2
338.016	3	target old	target	unsure old	1.709	4	143	65	2
350.015	3	target old	target	sure old	0.838	9	193	66	2
362.013	3	target old	target	sure old	1.312	2	127	67	2
374.029	3	target old	target	sure old	0.896	6	165	68	2
386.028	3	target old	target	sure old	1.249	3	135	69	2
398.027	3	lure old	lure	sure old	1.434	4	241	70	2
410.025	3	foil new	foil	unsure new	1.452	n/a	308	71	2
422.008	3	target old	target	sure old	1.005	5	153	72	2
