onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.012	3	foil old	foil	sure old	1.268	n/a	328	1	1
14.010	3	foil new	foil	sure new	1.061	n/a	329	2	1
26.009	3	foil new	foil	sure new	0.934	n/a	330	3	1
38.008	3	target old	target	sure old	1.655	1	117	4	1
50.007	3	target old	target	sure old	1.649	5	153	5	1
62.006	3	target old	target	sure old	1.378	1	113	6	1
74.005	3	foil new	foil	sure new	1.419	n/a	303	7	1
86.005	3	lure old	lure	unsure old	2.219	7	273	8	1
98.019	3	target old	target	sure old	2.045	3	137	9	1
110.018	3	lure new	lure	unsure new	2.086	7	272	10	1
122.017	3	foil new	foil	sure new	1.367	n/a	316	11	1
134.015	3	lure old	lure	unsure old	2.592	4	242	12	1
146.014	3	foil new	foil	sure new	1.306	n/a	323	13	1
158.013	3	target old	target	sure old	1.483	6	161	14	1
170.012	3	target old	target	sure old	1.436	2	123	15	1
182.011	3	target old	target	unsure old	2.053	9	191	16	1
194.009	3	lure new	lure	sure new	1.391	2	223	17	1
206.008	3	foil new	foil	unsure new	2.439	n/a	308	18	1
218.007	3	foil new	foil	sure new	1.129	n/a	306	19	1
230.006	3	target old	target	sure old	1.218	4	145	20	1
242.005	3	lure old	lure	sure old	1.355	5	253	21	1
254.004	3	lure new	lure	unsure new	2.283	9	293	22	1
266.019	3	target old	target	sure old	1.501	7	177	23	1
278.018	3	lure old	lure	sure old	1.173	6	261	24	1
290.017	3	lure new	lure	unsure new	1.687	1	213	25	1
302.016	3	foil new	foil	sure new	1.168	n/a	312	26	1
314.014	3	lure old	lure	sure old	1.345	3	233	27	1
326.013	3	target old	target	sure old	1.795	8	183	28	1
338.012	3	foil new	foil	sure new	1.804	n/a	319	29	1
350.011	3	target old	target	sure old	1.213	2	127	30	1
362.010	3	lure old	lure	sure old	1.830	5	251	31	1
374.009	3	foil new	foil	unsure new	2.543	n/a	327	32	1
386.007	3	foil new	foil	unsure new	1.680	n/a	315	33	1
398.006	3	target old	target	sure old	1.074	8	187	34	1
410.005	3	lure old	lure	sure old	0.995	6	263	35	1
422.005	3	lure old	lure	sure old	1.011	8	283	36	1
