onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.016	3	foil new	foil	sure new	0.879	n/a	331	37	2
14.015	3	foil new	foil	unsure new	2.008	n/a	332	38	2
26.030	3	foil new	foil	sure new	1.097	n/a	333	39	2
38.012	3	foil new	foil	sure new	1.027	n/a	323	40	2
50.012	3	foil new	foil	sure new	1.204	n/a	311	41	2
62.010	3	lure old	lure	unsure old	2.036	6	262	42	2
74.009	3	lure old	lure	sure old	1.358	1	213	43	2
86.008	3	target old	target	sure old	1.423	3	131	44	2
98.007	3	foil new	foil	sure new	1.233	n/a	306	45	2
110.005	3	target old	target	sure old	1.346	1	113	46	2
122.021	3	target old	target	sure old	1.155	5	157	47	2
134.020	3	target old	target	sure old	1.307	8	183	48	2
146.018	3	target old	target	sure old	0.829	9	197	49	2
158.017	3	target old	target	sure old	1.326	2	121	50	2
170.016	3	foil new	foil	sure new	1.151	n/a	320	51	2
182.031	3	target old	target	sure old	1.255	9	193	52	2
194.014	3	lure old	lure	unsure old	1.833	3	231	53	2
206.012	3	foil new	foil	sure new	1.219	n/a	314	54	2
218.011	3	lure new	lure	unsure new	1.996	1	212	55	2
230.010	3	target old	target	sure old	1.084	5	153	56	2
242.008	3	foil old	foil	unsure old	1.926	n/a	327	57	2
254.007	3	lure new	lure	unsure new	1.959	7	273	58	2
266.006	3	lure new	lure	unsure new	2.000	8	283	59	2
278.005	3	lure new	lure	sure new	1.394	2	223	60	2
290.004	3	foil new	foil	sure new	1.171	n/a	301	61	2
302.019	3	lure new	lure	sure new	1.811	4	244	62	2
314.018	3	target old	target	sure old	1.349	6	161	63	2
326.017	3	foil new	foil	sure new	1.414	n/a	309	64	2
338.016	3	lure new	lure	sure new	1.335	3	234	65	2
350.015	3	lure new	lure	unsure new	2.128	9	294	66	2
362.013	3	target old	target	sure old	1.257	7	171	67	2
374.012	3	lure old	lure	unsure old	2.138	8	284	68	2
386.011	3	target old	target	sure old	1.197	8	185	69	2
398.026	3	foil new	foil	sure new	1.108	n/a	318	70	2
410.008	3	lure old	lure	sure old	1.581	5	253	71	2
422.007	3	target old	target	sure old	1.224	4	141	72	2
