onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.009	3	foil new	foil	sure new	1.789	n/a	328	1	1
14.008	3	foil new	foil	sure new	1.182	n/a	329	2	1
26.006	3	foil new	foil	unsure new	1.255	n/a	330	3	1
38.022	3	lure new	lure	unsure new	1.816	5	254	4	1
50.021	3	lure old	lure	unsure old	1.553	9	294	5	1
62.020	3	target old	target	sure old	1.026	5	157	6	1
74.018	3	foil new	foil	sure new	1.075	n/a	320	7	1
86.017	3	foil new	foil	sure new	1.445	n/a	301	8	1
98.016	3	foil new	foil	sure new	1.022	n/a	307	9	1
110.015	3	target old	target	unsure old	1.295	1	111	10	1
122.014	3	lure old	lure	sure old	1.256	7	272	11	1
134.012	3	lure new	lure	unsure new	1.138	1	213	12	1
146.028	3	target old	target	sure old	1.794	2	125	13	1
158.027	3	lure new	lure	unsure new	1.411	5	252	14	1
170.009	3	lure new	lure	unsure new	1.645	6	263	15	1
182.007	3	foil new	foil	sure new	1.279	n/a	326	16	1
194.006	3	target old	target	sure old	1.040	8	181	17	1
206.005	3	foil new	foil	sure new	1.049	n/a	305	18	1
218.004	3	lure new	lure	unsure new	1.114	8	283	19	1
230.019	3	foil new	foil	unsure new	1.498	n/a	314	20	1
242.018	3	foil new	foil	sure new	0.996	n/a	324	21	1
254.017	3	lure old	lure	sure old	1.069	3	233	22	1
266.016	3	lure new	lure	sure new	1.110	2	222	23	1
278.015	3	foil new	foil	sure new	1.135	n/a	310	24	1
290.013	3	target old	target	sure old	1.152	1	117	25	1
302.012	3	target old	target	sure old	1.530	9	197	26	1
314.011	3	lure old	lure	sure old	1.419	6	261	27	1
326.010	3	target old	target	sure old	0.972	6	167	28	1
338.009	3	foil new	foil	sure new	0.901	n/a	317	29	1
350.007	3	target old	target	sure old	1.022	7	171	30	1
362.006	3	lure new	lure	sure new	0.880	8	284	31	1
374.022	3	target old	target	sure old	1.240	8	185	32	1
386.020	3	target old	target	sure old	0.929	4	147	33	1
398.019	3	target old	target	sure old	0.715	3	135	34	1
410.018	3	target old	target	sure old	0.996	5	153	35	1
422.017	3	lure new	lure	unsure new	1.397	4	241	36	1
