onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.018	3	foil new	foil	sure new	0.958	n/a	328	1	1
14.016	3	foil new	foil	sure new	0.823	n/a	329	2	1
26.015	3	foil new	foil	sure new	0.777	n/a	330	3	1
38.014	3	target new	target	sure new	0.730	1	113	4	1
50.013	3	target new	target	sure new	0.635	8	187	5	1
62.012	3	target old	target	sure old	1.012	2	123	6	1
74.010	3	foil new	foil	sure new	0.805	n/a	316	7	1
86.009	3	target old	target	sure old	1.534	1	115	8	1
98.008	3	lure new	lure	sure new	0.895	6	261	9	1
110.007	3	target old	target	sure old	1.033	4	145	10	1
122.006	3	foil new	foil	sure new	0.850	n/a	315	11	1
134.004	3	n/a	foil	n/a	n/a	n/a	319	12	1
146.005	3	foil new	foil	unsure new	2.499	n/a	308	13	1
158.019	3	target old	target	sure old	1.549	7	173	14	1
170.018	3	foil new	foil	sure new	1.214	n/a	305	15	1
182.016	3	lure new	lure	sure new	0.919	9	291	16	1
194.015	3	lure old	lure	sure old	1.344	2	221	17	1
206.014	3	target old	target	sure old	1.130	9	195	18	1
218.013	3	lure old	lure	sure old	1.139	8	282	19	1
230.011	3	foil old	foil	sure old	0.836	n/a	327	20	1
242.010	3	target old	target	sure old	0.958	6	167	21	1
254.009	3	lure old	lure	sure old	2.479	4	241	22	1
266.008	3	lure new	lure	unsure new	2.936	7	273	23	1
278.007	3	lure new	lure	sure new	2.161	3	231	24	1
290.006	3	lure new	lure	sure new	1.346	1	212	25	1
302.005	3	foil new	foil	sure new	0.827	n/a	310	26	1
314.020	3	lure old	lure	sure old	1.315	5	254	27	1
326.019	3	foil new	foil	sure new	0.813	n/a	323	28	1
338.018	3	target old	target	sure old	0.886	5	153	29	1
350.016	3	target old	target	sure old	1.279	7	171	30	1
362.015	3	lure old	lure	unsure old	2.609	3	232	31	1
374.014	3	target old	target	sure old	1.058	4	147	32	1
386.013	3	lure new	lure	sure new	0.851	6	262	33	1
398.012	3	foil new	foil	sure new	0.884	n/a	303	34	1
410.010	3	lure old	lure	unsure old	1.701	7	271	35	1
422.009	3	target old	target	sure old	0.855	3	133	36	1
