onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.011	3	foil new	foil	sure new	0.789	n/a	328	1	1
14.010	3	foil new	foil	sure new	0.934	n/a	329	2	1
26.009	3	foil old	foil	sure old	1.263	n/a	330	3	1
38.007	3	lure new	lure	sure new	0.888	3	231	4	1
50.006	3	target old	target	sure old	1.385	8	187	5	1
62.005	3	foil new	foil	sure new	0.763	n/a	316	6	1
74.004	3	foil new	foil	sure new	0.764	n/a	323	7	1
86.019	3	target old	target	sure old	0.676	9	193	8	1
98.018	3	target old	target	sure old	0.910	6	167	9	1
110.017	3	target old	target	sure old	0.895	4	147	10	1
122.016	3	target old	target	sure old	1.040	3	133	11	1
134.015	3	target old	target	sure old	0.625	5	155	12	1
146.013	3	lure new	lure	sure new	0.938	7	273	13	1
158.012	3	foil new	foil	sure new	1.012	n/a	325	14	1
170.011	3	target old	target	sure old	0.877	7	173	15	1
182.010	3	target old	target	sure old	0.702	1	117	16	1
194.009	3	foil new	foil	sure new	0.967	n/a	305	17	1
206.007	3	lure old	lure	unsure old	1.992	1	212	18	1
218.006	3	lure old	lure	unsure old	1.202	4	243	19	1
230.022	3	lure new	lure	sure new	1.018	8	284	20	1
242.021	3	target old	target	sure old	1.075	7	175	21	1
254.019	3	lure new	lure	sure new	0.996	3	233	22	1
266.018	3	foil new	foil	unsure new	1.573	n/a	313	23	1
278.017	3	foil new	foil	sure new	0.959	n/a	321	24	1
290.016	3	foil new	foil	sure new	0.744	n/a	311	25	1
302.015	3	target old	target	sure old	0.961	2	123	26	1
314.013	3	target old	target	sure old	0.826	6	165	27	1
326.012	3	lure old	lure	unsure old	1.556	5	252	28	1
338.011	3	foil new	foil	sure new	0.820	n/a	303	29	1
350.010	3	lure old	lure	sure old	0.638	5	254	30	1
362.009	3	target old	target	sure old	0.695	4	141	31	1
374.008	3	foil new	foil	sure new	0.864	n/a	309	32	1
386.006	3	lure old	lure	sure old	0.730	6	264	33	1
398.005	3	lure old	lure	sure old	0.755	9	291	34	1
410.021	3	lure new	lure	unsure new	1.771	2	221	35	1
422.020	3	lure old	lure	sure old	1.628	9	292	36	1
