onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.005	3	foil new	foil	sure new	0.618	n/a	334	73	3
14.005	3	foil new	foil	sure new	0.707	n/a	335	74	3
26.019	3	foil new	foil	sure new	1.684	n/a	336	75	3
38.018	3	lure old	lure	unsure old	1.293	8	282	76	3
50.017	3	foil new	foil	sure new	0.558	n/a	310	77	3
62.016	3	lure new	lure	sure new	0.919	2	224	78	3
74.015	3	lure new	lure	sure new	1.393	8	281	79	3
86.013	3	lure old	lure	sure old	0.666	6	263	80	3
98.012	3	target old	target	sure old	1.899	1	111	81	3
110.011	3	lure old	lure	sure old	1.252	7	271	82	3
122.010	3	target old	target	sure old	0.717	4	143	83	3
134.025	3	lure old	lure	sure old	1.070	1	211	84	3
146.008	3	lure old	lure	unsure old	1.464	4	242	85	3
158.006	3	lure new	lure	sure new	0.857	2	223	86	3
170.005	3	foil new	foil	sure new	0.754	n/a	304	87	3
182.005	3	foil old	foil	sure old	1.819	n/a	319	88	3
194.020	3	target old	target	sure old	0.668	6	161	89	3
206.018	3	target old	target	sure old	1.005	2	121	90	3
218.017	3	foil new	foil	sure new	0.742	n/a	302	91	3
230.016	3	target old	target	sure old	0.959	1	115	92	3
242.015	3	target old	target	sure old	0.872	8	181	93	3
254.014	3	foil new	foil	sure new	0.930	n/a	327	94	3
266.012	3	target old	target	sure old	0.643	9	197	95	3
278.012	3	foil old	foil	unsure old	1.508	n/a	308	96	3
290.010	3	foil new	foil	sure new	0.758	n/a	314	97	3
302.026	3	target old	target	sure old	0.566	5	157	98	3
314.008	3	foil new	foil	sure new	1.432	n/a	318	99	3
326.006	3	foil new	foil	sure new	0.969	n/a	322	100	3
338.005	3	lure new	lure	sure new	0.730	3	234	101	3
350.004	3	lure old	lure	sure old	0.587	5	253	102	3
362.020	3	target old	target	sure old	0.708	2	127	103	3
374.019	3	lure old	lure	sure old	0.829	7	272	104	3
386.017	3	target new	target	sure new	0.646	3	131	105	3
398.016	3	target old	target	sure old	0.664	5	153	106	3
410.015	3	lure old	lure	sure old	0.969	9	293	107	3
422.014	3	target old	target	sure old	0.794	7	171	108	3
