onset	duration	trial_type	stim_type	response	response_time	stim_group	stim_id	trial_id	run_id
2.007	3	foil new	foil	sure new	1.213	n/a	328	1	1
14.006	3	foil new	foil	sure new	0.839	n/a	329	2	1
26.004	3	foil new	foil	sure new	0.960	n/a	330	3	1
38.020	3	foil new	foil	sure new	1.233	n/a	315	4	1
50.019	3	foil new	foil	sure new	0.794	n/a	306	5	1
62.018	3	lure old	lure	sure old	1.603	8	283	6	1
74.016	3	lure new	lure	sure new	1.116	2	222	7	1
86.015	3	foil new	foil	sure new	1.413	n/a	303	8	1
98.014	3	target old	target	sure old	1.303	8	183	9	1
110.013	3	lure old	lure	sure old	1.312	7	274	10	1
122.012	3	lure old	lure	sure old	1.193	7	273	11	1
134.027	3	target old	target	unsure old	1.889	2	123	12	1
146.026	3	lure old	lure	unsure old	2.299	1	214	13	1
158.008	3	lure old	lure	sure old	2.477	8	282	14	1
170.007	3	target old	target	sure old	0.990	7	173	15	1
182.006	3	lure new	lure	unsure new	2.175	3	233	16	1
194.005	3	target old	target	sure old	1.264	9	197	17	1
206.020	3	lure new	lure	sure new	1.081	4	244	18	1
218.019	3	target old	target	sure old	1.042	8	181	19	1
230.018	3	lure old	lure	unsure old	2.323	6	261	20	1
242.016	3	target old	target	sure old	1.228	9	193	21	1
254.015	3	lure new	lure	sure new	1.078	9	293	22	1
266.014	3	target old	target	sure old	1.438	2	127	23	1
278.013	3	target old	target	sure old	0.896	1	113	24	1
290.012	3	target old	target	sure old	1.001	4	145	25	1
302.011	3	foil old	foil	unsure old	2.306	n/a	326	26	1
314.026	3	foil new	foil	sure new	1.651	n/a	319	27	1
326.008	3	foil new	foil	sure new	0.909	n/a	311	28	1
338.007	3	lure old	lure	unsure old	1.590	9	291	29	1
350.006	3	target old	target	sure old	1.007	3	135	30	1
362.005	3	target old	target	sure old	1.065	6	167	31	1
374.020	3	target old	target	sure old	0.801	5	153	32	1
386.019	3	foil new	foil	sure new	0.834	n/a	323	33	1
398.018	3	foil new	foil	sure new	1.259	n/a	308	34	1
410.017	3	lure old	lure	sure old	1.132	5	254	35	1
422.015	3	foil new	foil	sure new	1.094	n/a	317	36	1
